geneA_id	geneB_id	geneA_position	geneB_position	intervening_genes	operon_id	operon_length
P33129	P37018	2	3	0	173685	6
P33129	P37017	2	4	1	173685	6
P33129	P37016	2	5	2	173685	6
P31058	P33129	6	2	3	173685	6
P37017	P37018	4	3	0	173685	6
P37016	P37018	5	3	1	173685	6
P31058	P37018	6	3	2	173685	6
P37016	P37017	5	4	0	173685	6
P31058	P37017	6	4	1	173685	6
P31058	P37016	6	5	0	173685	6
P07000	P27848	1	2	0	174341	3
P07000	P0ADP5	1	3	1	174341	3
P0ADP5	P27848	3	2	0	174341	3
P28722	P45420	1	2	0	174292	2
P0A6S0	P0ABX5	2	1	0	173884	6
P0A6S3	P0ABX5	3	1	1	173884	6
P0ABX5	P75942	1	4	2	173884	6
P0ABX5	P33235	1	5	3	173884	6
P0ABX5	P29744	1	6	4	173884	6
P0A6S0	P0A6S3	2	3	0	173884	6
P0A6S0	P75942	2	4	1	173884	6
P0A6S0	P33235	2	5	2	173884	6
P0A6S0	P29744	2	6	3	173884	6
P0A6S3	P75942	3	4	0	173884	6
P0A6S3	P33235	3	5	1	173884	6
P0A6S3	P29744	3	6	2	173884	6
P33235	P75942	5	4	0	173884	6
P29744	P75942	6	4	1	173884	6
P29744	P33235	6	5	0	173884	6
P07017	P07018	1	2	0	174026	6
P07017	P07364	1	3	1	174026	6
P07017	P07330	1	4	2	174026	6
P07017	P0AE67	1	5	3	174026	6
P07017	P0A9H9	1	6	4	174026	6
P07018	P07364	2	3	0	174026	6
P07018	P07330	2	4	1	174026	6
P07018	P0AE67	2	5	2	174026	6
P07018	P0A9H9	2	6	3	174026	6
P07330	P07364	4	3	0	174026	6
P07364	P0AE67	3	5	1	174026	6
P07364	P0A9H9	3	6	2	174026	6
P07330	P0AE67	4	5	0	174026	6
P07330	P0A9H9	4	6	1	174026	6
P0A9H9	P0AE67	6	5	0	174026	6
P23873	P23874	1	2	0	173955	2
P0A9J6	P0ACQ0	1	2	0	174350	2
P0A884	P60955	2	1	0	174212	2
P0DM85	P39267	1	2	0	174463	2
P0AB80	P0ADG1	2	1	0	174348	4
P05791	P0ADG1	3	1	1	174348	4
P04968	P0ADG1	4	1	2	174348	4
P05791	P0AB80	3	2	0	174348	4
P04968	P0AB80	4	2	1	174348	4
P04968	P05791	4	3	0	174348	4
P0A7G2	P60340	1	2	0	174280	2
P0A8A0	P0AFC0	2	1	0	174020	3
P0A814	P0AFC0	3	1	1	174020	3
P0A814	P0A8A0	3	2	0	174020	3
P0A955	P0ADF6	2	1	0	174016	2
P12008	P39199	2	1	0	174108	6
P0C0T5	P39199	3	1	1	174108	6
P0AD30	P39199	4	1	2	174108	6
P39199	P76938	1	5	3	174108	6
P39199	P64540	1	6	4	174108	6
P0C0T5	P12008	3	2	0	174108	6
P0AD30	P12008	4	2	1	174108	6
P12008	P76938	2	5	2	174108	6
P12008	P64540	2	6	3	174108	6
P0AD30	P0C0T5	4	3	0	174108	6
P0C0T5	P76938	3	5	1	174108	6
P0C0T5	P64540	3	6	2	174108	6
P0AD30	P76938	4	5	0	174108	6
P0AD30	P64540	4	6	1	174108	6
P64540	P76938	6	5	0	174108	6
P37909	P75750	1	2	0	173808	4
P37909	P75749	1	3	1	173808	4
P37909	P75748	1	4	2	173808	4
P75749	P75750	3	2	0	173808	4
P75748	P75750	4	2	1	173808	4
P75748	P75749	4	3	0	173808	4
P05100	P37664	1	2	0	174397	2
P64471	P76185	1	2	0	173979	3
P64471	P76186	1	3	1	173979	3
P76185	P76186	2	3	0	173979	3
P0AF59	P39274	1	2	0	174467	2
P75991	P75992	1	2	0	173895	3
P75991	P75993	1	3	1	173895	3
P75992	P75993	2	3	0	173895	3
P28696	P75617	1	2	0	173656	2
P0AEI6	P75966	2	1	0	173891	5
P25745	P75966	3	1	1	173891	5
P25746	P75966	4	1	2	173891	5
P0AB89	P75966	5	1	3	173891	5
P0AEI6	P25745	2	3	0	173891	5
P0AEI6	P25746	2	4	1	173891	5
P0AB89	P0AEI6	5	2	2	173891	5
P25745	P25746	3	4	0	173891	5
P0AB89	P25745	5	3	1	173891	5
P0AB89	P25746	5	4	0	173891	5
P00926	P08555	2	1	0	174115	2
P32669	P32670	2	1	0	174317	3
P0A9S5	P32670	3	1	1	174317	3
P0A9S5	P32669	3	2	0	174317	3
P37672	P37673	1	2	0	174391	2
P77690	P77757	1	2	0	174094	7
P77398	P77690	3	1	1	174094	7
P76472	P77690	4	1	2	174094	7
P76473	P77690	5	1	3	174094	7
P77690	Q47377	1	6	4	174094	7
P76474	P77690	7	1	5	174094	7
P77398	P77757	3	2	0	174094	7
P76472	P77757	4	2	1	174094	7
P76473	P77757	5	2	2	174094	7
P77757	Q47377	2	6	3	174094	7
P76474	P77757	7	2	4	174094	7
P76472	P77398	4	3	0	174094	7
P76473	P77398	5	3	1	174094	7
P77398	Q47377	3	6	2	174094	7
P76474	P77398	7	3	3	174094	7
P76472	P76473	4	5	0	174094	7
P76472	Q47377	4	6	1	174094	7
P76472	P76474	4	7	2	174094	7
P76473	Q47377	5	6	0	174094	7
P76473	P76474	5	7	1	174094	7
P76474	Q47377	7	6	0	174094	7
P30136	P30137	1	2	0	174308	6
P30136	P30138	1	3	1	174308	6
O32583	P30136	4	1	2	174308	6
P30136	P30139	1	5	3	174308	6
P30136	P30140	1	6	4	174308	6
P30137	P30138	2	3	0	174308	6
O32583	P30137	4	2	1	174308	6
P30137	P30139	2	5	2	174308	6
P30137	P30140	2	6	3	174308	6
O32583	P30138	4	3	0	174308	6
P30138	P30139	3	5	1	174308	6
P30138	P30140	3	6	2	174308	6
O32583	P30139	4	5	0	174308	6
O32583	P30140	4	6	1	174308	6
P30139	P30140	5	6	0	174308	6
P64572	Q46843	2	1	0	174242	3
Q46841	Q46843	3	1	1	174242	3
P64572	Q46841	2	3	0	174242	3
Q46915	Q46916	2	1	0	174203	3
P0AES2	Q46916	3	1	1	174203	3
P0AES2	Q46915	3	2	0	174203	3
P0AF61	P64646	1	2	0	174468	2
P08365	P33647	1	2	0	174483	2
P0A7J7	P0A7L0	1	2	0	174310	2
P0CF87	P77013	2	1	0	174171	2
P0AAE2	P0AD99	2	1	0	173745	2
P0CF07	P0CF25	1	2	0	173660	2
P0A7M2	P0A7N9	1	2	0	174376	2
P52139	P52140	1	2	0	174172	5
P52139	P58033	1	3	1	174172	5
P52139	P52141	1	4	2	174172	5
P52139	Q46953	1	5	3	174172	5
P52140	P58033	2	3	0	174172	5
P52140	P52141	2	4	1	174172	5
P52140	Q46953	2	5	2	174172	5
P52141	P58033	4	3	0	174172	5
P58033	Q46953	3	5	1	174172	5
P52141	Q46953	4	5	0	174172	5
P0AFV0	P32108	2	1	0	174386	2
P14375	P14377	2	1	0	174305	2
Q47689	Q47690	1	2	0	173712	2
Q06065	Q06067	2	1	0	174086	2
P71296	P77607	1	2	0	173718	2
P0AEJ8	P77445	1	2	0	174132	4
P0AEJ8	P77277	1	3	1	174132	4
P0AEJ8	P76553	1	4	2	174132	4
P77277	P77445	3	2	0	174132	4
P76553	P77445	4	2	1	174132	4
P76553	P77277	4	3	0	174132	4
P37674	P37675	1	2	0	174390	7
P37674	P37676	1	3	1	174390	7
P37674	P37677	1	4	2	174390	7
P37674	P37678	1	5	3	174390	7
P37674	P37679	1	6	4	174390	7
P37674	P37680	1	7	5	174390	7
P37675	P37676	2	3	0	174390	7
P37675	P37677	2	4	1	174390	7
P37675	P37678	2	5	2	174390	7
P37675	P37679	2	6	3	174390	7
P37675	P37680	2	7	4	174390	7
P37676	P37677	3	4	0	174390	7
P37676	P37678	3	5	1	174390	7
P37676	P37679	3	6	2	174390	7
P37676	P37680	3	7	3	174390	7
P37677	P37678	4	5	0	174390	7
P37677	P37679	4	6	1	174390	7
P37677	P37680	4	7	2	174390	7
P37678	P37679	5	6	0	174390	7
P37678	P37680	5	7	1	174390	7
P37679	P37680	6	7	0	174390	7
P0A9J4	Q46948	1	2	0	173750	2
P76056	P76057	2	1	0	173926	3
P76055	P76057	3	1	1	173926	3
P76055	P76056	3	2	0	173926	3
P0ABK9	P0ABL1	1	2	0	174457	7
P0AAK7	P0ABK9	3	1	1	174457	7
P0ABK9	P32709	1	4	2	174457	7
P0ABK9	P32710	1	5	3	174457	7
P0ABK9	P32711	1	6	4	174457	7
P0ABK9	P32712	1	7	5	174457	7
P0AAK7	P0ABL1	3	2	0	174457	7
P0ABL1	P32709	2	4	1	174457	7
P0ABL1	P32710	2	5	2	174457	7
P0ABL1	P32711	2	6	3	174457	7
P0ABL1	P32712	2	7	4	174457	7
P0AAK7	P32709	3	4	0	174457	7
P0AAK7	P32710	3	5	1	174457	7
P0AAK7	P32711	3	6	2	174457	7
P0AAK7	P32712	3	7	3	174457	7
P32709	P32710	4	5	0	174457	7
P32709	P32711	4	6	1	174457	7
P32709	P32712	4	7	2	174457	7
P32710	P32711	5	6	0	174457	7
P32710	P32712	5	7	1	174457	7
P32711	P32712	6	7	0	174457	7
P0A9H5	P31808	2	1	0	173914	2
P78271	Q47702	2	1	0	174125	2
P37008	Q79E92	1	2	0	173714	2
P28634	P69411	2	1	0	173699	2
P09152	P11349	1	2	0	173905	4
P09152	P0AF26	1	3	1	173905	4
P09152	P11350	1	4	2	173905	4
P0AF26	P11349	3	2	0	173905	4
P11349	P11350	2	4	1	173905	4
P0AF26	P11350	3	4	0	173905	4
P69824	P69826	1	2	0	174232	6
P52048	P69824	3	1	1	174232	6
P21437	P69824	4	1	2	174232	6
P11663	P69824	5	1	3	174232	6
P11664	P69824	6	1	4	174232	6
P52048	P69826	3	2	0	174232	6
P21437	P69826	4	2	1	174232	6
P11663	P69826	5	2	2	174232	6
P11664	P69826	6	2	3	174232	6
P21437	P52048	4	3	0	174232	6
P11663	P52048	5	3	1	174232	6
P11664	P52048	6	3	2	174232	6
P11663	P21437	5	4	0	174232	6
P11664	P21437	6	4	1	174232	6
P11663	P11664	5	6	0	174232	6
P0A8Z3	P0ABU9	1	2	0	173814	4
P0A8Z3	P0ABV6	1	3	1	173814	4
P0A8Z3	P19934	1	4	2	173814	4
P0ABU9	P0ABV6	2	3	0	173814	4
P0ABU9	P19934	2	4	1	173814	4
P0ABV6	P19934	3	4	0	173814	4
P37387	P37388	1	2	0	174393	3
P0AGI4	P37387	3	1	1	174393	3
P0AGI4	P37388	3	2	0	174393	3
P0CF47	P0CF61	1	2	0	174085	2
P00490	P15977	1	2	0	174422	2
P0AAE5	P0AFS3	1	2	0	173974	2
P04816	P0AEX7	1	2	0	174415	5
P04816	P22729	1	3	1	174415	5
P04816	P0A9S7	1	4	2	174415	5
P04816	P22731	1	5	3	174415	5
P0AEX7	P22729	2	3	0	174415	5
P0A9S7	P0AEX7	4	2	1	174415	5
P0AEX7	P22731	2	5	2	174415	5
P0A9S7	P22729	4	3	0	174415	5
P22729	P22731	3	5	1	174415	5
P0A9S7	P22731	4	5	0	174415	5
P76128	P77790	2	1	0	173951	6
P77308	P77790	3	1	1	173951	6
P77463	P77790	4	1	2	173951	6
P77268	P77790	5	1	3	173951	6
P77622	P77790	6	1	4	173951	6
P76128	P77308	2	3	0	173951	6
P76128	P77463	2	4	1	173951	6
P76128	P77268	2	5	2	173951	6
P76128	P77622	2	6	3	173951	6
P77308	P77463	3	4	0	173951	6
P77268	P77308	5	3	1	173951	6
P77308	P77622	3	6	2	173951	6
P77268	P77463	5	4	0	173951	6
P77463	P77622	4	6	1	173951	6
P77268	P77622	5	6	0	173951	6
P0A8X2	P75925	2	1	0	173878	2
P0AE12	P76350	2	1	0	174042	2
P32156	P32169	2	1	0	174326	2
P76657	P77306	1	2	0	174255	2
P0ADE4	P39321	1	2	0	174482	3
P0ADE4	P0AE48	1	3	1	174482	3
P0AE48	P39321	3	2	0	174482	3
P0A821	P14081	1	2	0	174388	2
P75676	Q47685	1	2	0	173708	5
P75676	Q9XB42	1	3	1	173708	5
P75676	Q47684	1	4	2	173708	5
P75676	P77692	1	5	3	173708	5
Q47685	Q9XB42	2	3	0	173708	5
Q47684	Q47685	4	2	1	173708	5
P77692	Q47685	5	2	2	173708	5
Q47684	Q9XB42	4	3	0	173708	5
P77692	Q9XB42	5	3	1	173708	5
P77692	Q47684	5	4	0	173708	5
P0CF66	P0CF79	1	2	0	173738	2
P0A9K7	P0AAH0	2	1	0	174357	2
P0A6T5	P25747	1	2	0	174074	2
P77522	P77667	2	1	0	173983	6
P77499	P77667	3	1	1	173983	6
P77667	P77689	1	4	2	173983	6
P77444	P77667	5	1	3	173983	6
P76194	P77667	6	1	4	173983	6
P77499	P77522	3	2	0	173983	6
P77522	P77689	2	4	1	173983	6
P77444	P77522	5	2	2	173983	6
P76194	P77522	6	2	3	173983	6
P77499	P77689	3	4	0	173983	6
P77444	P77499	5	3	1	173983	6
P76194	P77499	6	3	2	173983	6
P77444	P77689	5	4	0	173983	6
P76194	P77689	6	4	1	173983	6
P76194	P77444	6	5	0	173983	6
P0AE95	P52106	2	1	0	173873	4
P0AE98	P52106	3	1	1	173873	4
P0AEA2	P52106	4	1	2	173873	4
P0AE95	P0AE98	2	3	0	173873	4
P0AE95	P0AEA2	2	4	1	173873	4
P0AE98	P0AEA2	3	4	0	173873	4
P0AAB8	P32162	2	1	0	174322	2
P45524	P63389	2	1	0	174435	4
P63389	P67624	1	3	1	174435	4
P0AEX5	P63389	4	1	2	174435	4
P45524	P67624	2	3	0	174435	4
P0AEX5	P45524	4	2	1	174435	4
P0AEX5	P67624	4	3	0	174435	4
P11551	P69922	1	2	0	174207	5
P11551	P11553	1	3	1	174207	5
P0AEN8	P11551	4	1	2	174207	5
P0ACK8	P11551	5	1	3	174207	5
P11553	P69922	3	2	0	174207	5
P0AEN8	P69922	4	2	1	174207	5
P0ACK8	P69922	5	2	2	174207	5
P0AEN8	P11553	4	3	0	174207	5
P0ACK8	P11553	5	3	1	174207	5
P0ACK8	P0AEN8	5	4	0	174207	5
P0AFN6	P36879	2	1	0	173683	2
P77214	P77239	1	2	0	173782	4
P38054	P77214	3	1	1	173782	4
P24207	P77214	4	1	2	173782	4
P38054	P77239	3	2	0	173782	4
P24207	P77239	4	2	1	173782	4
P24207	P38054	4	3	0	173782	4
P08178	P08179	1	2	0	174143	2
P0A6P1	P0A7E9	1	2	0	173692	2
P0CF08	P0CF26	1	2	0	173717	2
P33361	P33362	2	1	0	174068	4
P33360	P33362	3	1	1	174068	4
P33359	P33362	4	1	2	174068	4
P33360	P33361	3	2	0	174068	4
P33359	P33361	4	2	1	174068	4
P33359	P33360	4	3	0	174068	4
P0AAF6	P30859	1	2	0	173838	4
P0AAF6	P0AE34	1	3	1	173838	4
P0AAF6	P0AE30	1	4	2	173838	4
P0AE34	P30859	3	2	0	173838	4
P0AE30	P30859	4	2	1	173838	4
P0AE30	P0AE34	4	3	0	173838	4
P75970	P75971	2	1	0	173893	3
P75969	P75971	3	1	1	173893	3
P75969	P75970	3	2	0	173893	3
P32125	P32173	2	1	0	174335	2
P0AAG8	P0AEE5	2	1	0	174073	3
P0AEE5	P23200	1	3	1	174073	3
P0AAG8	P23200	2	3	0	174073	3
P0A6R3	P0ABT5	2	1	0	174301	2
P46890	P77756	1	2	0	173754	2
P0CF40	P0CF53	1	2	0	173735	2
P0A8S9	P0ABY7	1	2	0	174028	2
P33368	P33369	2	1	0	174069	2
P0A6E1	P0AAN5	1	2	0	173741	2
P09147	P09148	1	2	0	173817	4
P09147	P0A6T3	1	3	1	173817	4
P09147	P0A9C3	1	4	2	173817	4
P09148	P0A6T3	2	3	0	173817	4
P09148	P0A9C3	2	4	1	173817	4
P0A6T3	P0A9C3	3	4	0	173817	4
P29680	P32664	2	1	0	174307	4
P32664	P68739	1	3	1	174307	4
P32664	P32680	1	4	2	174307	4
P29680	P68739	2	3	0	174307	4
P29680	P32680	2	4	1	174307	4
P32680	P68739	4	3	0	174307	4
P0AEL3	P33650	1	2	0	174424	3
P0AEL3	P64638	1	3	1	174424	3
P33650	P64638	2	3	0	174424	3
P0A9P9	P39346	2	1	0	174489	5
P39344	P39346	3	1	1	174489	5
P39343	P39346	4	1	2	174489	5
P39342	P39346	5	1	3	174489	5
P0A9P9	P39344	2	3	0	174489	5
P0A9P9	P39343	2	4	1	174489	5
P0A9P9	P39342	2	5	2	174489	5
P39343	P39344	4	3	0	174489	5
P39342	P39344	5	3	1	174489	5
P39342	P39343	5	4	0	174489	5
P0A8C1	P75820	1	2	0	173839	2
P03819	P0A754	2	1	0	173667	2
P64564	P67080	2	1	0	174237	5
P52060	P67080	3	1	1	174237	5
P52061	P67080	4	1	2	174237	5
P52062	P67080	5	1	3	174237	5
P52060	P64564	3	2	0	174237	5
P52061	P64564	4	2	1	174237	5
P52062	P64564	5	2	2	174237	5
P52060	P52061	3	4	0	174237	5
P52060	P52062	3	5	1	174237	5
P52061	P52062	4	5	0	174237	5
P0ADP9	P0C0K3	1	2	0	174334	3
P0ADP9	P0AEG4	1	3	1	174334	3
P0AEG4	P0C0K3	3	2	0	174334	3
P19642	P23256	1	2	0	173977	2
P76086	P77181	1	2	0	173936	2
P09391	P0A6V5	2	1	0	174420	3
P0A6V5	P0ACL0	1	3	1	174420	3
P09391	P0ACL0	2	3	0	174420	3
P03825	P45756	2	1	0	174440	2
P28369	P75675	2	1	0	173705	2
P02359	P0A7S3	2	1	0	174438	4
P0A6M8	P0A7S3	3	1	1	174438	4
P0A7S3	P0CE47	1	4	2	174438	4
P02359	P0A6M8	2	3	0	174438	4
P02359	P0CE47	2	4	1	174438	4
P0A6M8	P0CE47	3	4	0	174438	4
P42624	P42625	1	2	0	174266	2
P0ADX9	P37614	1	2	0	174413	2
P61320	P62615	1	2	0	173902	2
P0A6B7	P0ACD4	1	2	0	174151	7
P0A6B7	P0AAC8	1	3	1	174151	7
P0A6B7	P0A6L9	1	4	2	174151	7
P0A6B7	P0A6Z1	1	5	3	174151	7
P0A6B7	P0A9R4	1	6	4	174151	7
P0A6B7	P0C0L9	1	7	5	174151	7
P0AAC8	P0ACD4	3	2	0	174151	7
P0A6L9	P0ACD4	4	2	1	174151	7
P0A6Z1	P0ACD4	5	2	2	174151	7
P0A9R4	P0ACD4	6	2	3	174151	7
P0ACD4	P0C0L9	2	7	4	174151	7
P0A6L9	P0AAC8	4	3	0	174151	7
P0A6Z1	P0AAC8	5	3	1	174151	7
P0A9R4	P0AAC8	6	3	2	174151	7
P0AAC8	P0C0L9	3	7	3	174151	7
P0A6L9	P0A6Z1	4	5	0	174151	7
P0A6L9	P0A9R4	4	6	1	174151	7
P0A6L9	P0C0L9	4	7	2	174151	7
P0A6Z1	P0A9R4	5	6	0	174151	7
P0A6Z1	P0C0L9	5	7	1	174151	7
P0A9R4	P0C0L9	6	7	0	174151	7
P27296	P30177	1	2	0	173826	2
P0ACU0	P75777	1	2	0	173825	5
P0A9U1	P0ACU0	3	1	1	173825	5
P0ACU0	P0AFQ2	1	4	2	173825	5
P0ACU0	P0AFP9	1	5	3	173825	5
P0A9U1	P75777	3	2	0	173825	5
P0AFQ2	P75777	4	2	1	173825	5
P0AFP9	P75777	5	2	2	173825	5
P0A9U1	P0AFQ2	3	4	0	173825	5
P0A9U1	P0AFP9	3	5	1	173825	5
P0AFP9	P0AFQ2	5	4	0	173825	5
P64488	P64496	1	2	0	174004	2
P0A6J5	P29012	1	2	0	173900	2
P76417	P76418	1	2	0	174062	3
P76417	P76419	1	3	1	174062	3
P76418	P76419	2	3	0	174062	3
P07395	P08312	2	1	0	173990	3
P08312	P0A6X7	1	3	1	173990	3
P07395	P0A6X7	2	3	0	173990	3
P0AEP7	P30147	1	2	0	173769	2
P0CF08	P57998	1	2	0	173863	2
P76342	P76343	1	2	0	174041	2
P39383	P39384	2	1	0	174503	2
P75697	Q47536	2	1	0	173736	2
P0AEM0	P62623	1	2	0	173662	3
P0AEM0	P22564	1	3	1	173662	3
P22564	P62623	3	2	0	173662	3
P76503	P77399	1	2	0	174110	2
P77162	P77365	2	1	0	173709	2
Q46835	Q46836	2	1	0	174240	2
P0ADU2	P0AEY5	2	1	0	174251	2
P31574	P60566	2	1	0	173666	5
P60566	P68644	1	3	1	173666	5
P60566	P68646	1	4	2	173666	5
P31679	P60566	5	1	3	173666	5
P31574	P68644	2	3	0	173666	5
P31574	P68646	2	4	1	173666	5
P31574	P31679	2	5	2	173666	5
P68644	P68646	3	4	0	173666	5
P31679	P68644	5	3	1	173666	5
P31679	P68646	5	4	0	173666	5
Q47537	Q47538	1	2	0	173737	4
Q47537	Q47539	1	3	1	173737	4
P37610	Q47537	4	1	2	173737	4
Q47538	Q47539	2	3	0	173737	4
P37610	Q47538	4	2	1	173737	4
P37610	Q47539	4	3	0	173737	4
P0A898	P0A9K3	2	1	0	173797	4
P0A9K3	P0AE78	1	3	1	173797	4
P0A9K3	P23930	1	4	2	173797	4
P0A898	P0AE78	2	3	0	173797	4
P0A898	P23930	2	4	1	173797	4
P0AE78	P23930	3	4	0	173797	4
P0A9X4	P16926	1	2	0	174298	5
P0A9X4	P0ABH4	1	3	1	174298	5
P0A9X4	P25536	1	4	2	174298	5
P0A9J0	P0A9X4	5	1	3	174298	5
P0ABH4	P16926	3	2	0	174298	5
P16926	P25536	2	4	1	174298	5
P0A9J0	P16926	5	2	2	174298	5
P0ABH4	P25536	3	4	0	174298	5
P0A9J0	P0ABH4	5	3	1	174298	5
P0A9J0	P25536	5	4	0	174298	5
P19319	P37758	2	1	0	173947	6
P19318	P37758	3	1	1	173947	6
P19317	P37758	4	1	2	173947	6
P0AF32	P37758	5	1	3	173947	6
P37757	P37758	6	1	4	173947	6
P19318	P19319	3	2	0	173947	6
P19317	P19319	4	2	1	173947	6
P0AF32	P19319	5	2	2	173947	6
P19319	P37757	2	6	3	173947	6
P19317	P19318	4	3	0	173947	6
P0AF32	P19318	5	3	1	173947	6
P19318	P37757	3	6	2	173947	6
P0AF32	P19317	5	4	0	173947	6
P19317	P37757	4	6	1	173947	6
P0AF32	P37757	5	6	0	173947	6
P0ACE7	P75946	1	2	0	173887	6
P0AB38	P0ACE7	3	1	1	173887	6
P0ACE7	P75948	1	4	2	173887	6
P0ACE7	P75949	1	5	3	173887	6
P0A8E1	P0ACE7	6	1	4	173887	6
P0AB38	P75946	3	2	0	173887	6
P75946	P75948	2	4	1	173887	6
P75946	P75949	2	5	2	173887	6
P0A8E1	P75946	6	2	3	173887	6
P0AB38	P75948	3	4	0	173887	6
P0AB38	P75949	3	5	1	173887	6
P0A8E1	P0AB38	6	3	2	173887	6
P75948	P75949	4	5	0	173887	6
P0A8E1	P75948	6	4	1	173887	6
P0A8E1	P75949	6	5	0	173887	6
P06134	P0AB85	2	1	0	174083	4
P05050	P0AB85	3	1	1	174083	4
P0AB85	P33941	1	4	2	174083	4
P05050	P06134	3	2	0	174083	4
P06134	P33941	2	4	1	174083	4
P05050	P33941	3	4	0	174083	4
P05459	P08390	1	2	0	174107	4
P05459	P07649	1	3	1	174107	4
P05459	P0ABP6	1	4	2	174107	4
P07649	P08390	3	2	0	174107	4
P08390	P0ABP6	2	4	1	174107	4
P07649	P0ABP6	3	4	0	174107	4
P00561	P0AD86	2	1	0	173653	4
